MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera bomber ,Beige,60,China ,$20.61,"459,000  ","321,300",69%,55%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera bomber ,Azul marino ,60,China ,$20.61,"459,000  ","321,300",69%,55%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera clásica ,Gris Oscuro ,50,China ,$23.36,"509,000  ","356,300",69%,54%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera clásica ,Café ,50,China ,$23.36,"509,000  ","356,300",69%,54%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera combinada ,Gris oscuro ,40,China ,$26.12,"559,000  ","391,300",68%,53%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Hoodie embosed logo ,Gris oscuro ,56,China,$9.61,"229,000  ","160,300",71%,58%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Hoodie embosed logo ,Tostado ,56,China,$9.61,"229,000  ","160,300",71%,58%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Hoodie combi ,Gris melange,56,China ,$9.61,"229,000  ","160,300",71%,58%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Hoodie combinado ,Beige ,56,China ,$9.61,"229,000  ","160,300",71%,58%,Enero
LEE,FW26,MODAPIEL ,Sweater ,,,Sweater medio cierre ,Negro ,60,China ,$12.36,"259,000  ","181,300",68%,52%,Enero
LEE,FW26,MODAPIEL ,Sweater ,,,Sweater medio cierre ,Beige ,60,China ,$12.36,"259,000  ","181,300",68%,52%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Bomber faux leather ,Beige,40,China ,$21.98,"469,000  ","328,300",68%,53%,Enero
LEE,FW26,MODAPIEL ,Abrigo ,,,Campera con sherpa ,Negro ,40,China ,$26.11,"549,000  ","384,300",68%,52%,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,High Rise Skinny ,Stl ,104,Chile,$19.26,"399,000  ",,67%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,High Rise Skinny ,Bkw,104,Chile,$19.26,"399,000  ",,67%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Women Slim ,Str,130,Chile,$19.26,"419,000  ",,69%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Women Slim ,Blue ,130,Chile,$19.26,"419,000  ",,69%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Women Straight ,Blue,130,Chile,$19.26,"419,000  ",,69%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Women Straight ,Bks,130,Chile,$19.26,"419,000  ",,69%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Texas Authentic ,Stw,184,Chile,$22.62,"459,000  ",,66%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Texas Authentic ,Bko,184,Chile,$20.27,"459,000  ",,70%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Texas Authentic ,DST,184,Chile,$22.46,"459,000  ",,67%,,Enero
Wrangler ,FW26,Jeans Blue ,Vaquero ,,,Greensboro ,Ms,184,Chile,$23.44,"469,000  ",,66%,,Enero
